t	x
0	1.00001
0.2	1.00223
0.4	1.00687
0.6	1.01132
0.8	1.01659
1	1.0216
1.2	1.0261
1.4	1.03013
1.6	1.03416
1.8	1.03778
2	1.04181
2.2	1.04535
2.4	1.04919
2.6	1.05309
2.8	1.0568
3	1.06063
3.2	1.06564
3.4	1.07012
3.6	1.07428
3.8	1.07882
4	1.08306
4.2	1.08695
4.4	1.09016
4.6	1.0939
4.8	1.09628
5	1.0987
5.2	1.10056
5.4	1.10322
5.6	1.1042
5.8	1.10592
6	1.10654
6.2	1.10741
6.4	1.10766
6.6	1.10747
6.8	1.10681
7	1.1063
7.2	1.10538
7.4	1.1044
7.6	1.10408
7.8	1.1039
8	1.10311
8.2	1.1024
8.4	1.10125
8.6	1.10127
8.8	1.10077
9	1.1016
9.2	1.10237
9.4	1.10301
9.6	1.10263
9.8	1.10332
10	1.10416
10.2	1.10518
10.4	1.10541
10.6	1.10777
10.8	1.10925
11	1.10985
11.2	1.11062
11.4	1.11224
11.6	1.11235
11.8	1.11321
12	1.11349
12.2	1.11311
12.4	1.11275
12.6	1.11062
12.8	1.10966
13	1.10865
13.2	1.10778
13.4	1.10908
13.6	1.11096
13.8	1.11146
14	1.11157
14.2	1.1113
14.4	1.11143
14.6	1.10881
14.8	1.10778
15	1.10685
15.2	1.10733
15.4	1.10471
15.6	1.1055
15.8	1.10643
16	1.1091
16.2	1.11006
16.4	1.11188
16.6	1.11406
16.8	1.11325
17	1.11166
17.2	1.11087
17.4	1.11233
17.6	1.11213
17.8	1.11382
18	1.11527
18.2	1.11751
18.4	1.11743
18.6	1.11977
18.8	1.11945
19	1.12077
19.2	1.12071
19.4	1.12049
19.6	1.12
19.8	1.12116
20	1.11955
20.2	1.12072
20.4	1.12257
20.6	1.12265
20.8	1.12133
21	1.12385
21.2	1.12317
21.4	1.12389
21.6	1.12255
21.8	1.12469
22	1.12278
22.2	1.12308
22.4	1.12214
22.6	1.12299
22.8	1.12218
23	1.12152
23.2	1.12115
23.4	1.12204
23.6	1.12427
23.8	1.12623
24	1.13065
24.2	1.13233
24.4	1.13378
24.6	1.13387
24.8	1.13512
25	1.13482
25.2	1.13466
25.4	1.13426
25.6	1.13456
25.8	1.13429
26	1.13624
26.2	1.13759
26.4	1.13963
26.6	1.14149
26.8	1.1421
27	1.14071
27.2	1.14108
27.4	1.13999
27.6	1.13943
27.8	1.13962
28	1.14121
28.2	1.14158
28.4	1.14025
28.6	1.14103
28.8	1.14318
29	1.14218
29.2	1.14169
29.4	1.14463
29.6	1.14584
29.8	1.14666
30	1.1491
30.2	1.15112
30.4	1.1521
30.6	1.15328
30.8	1.15333
31	1.15273
31.2	1.15427
31.4	1.1553
31.6	1.15449
31.8	1.1562
32	1.16067
32.2	1.15837
32.4	1.15687
32.6	1.15888
32.8	1.15656
33	1.15353
33.2	1.15629
33.4	1.15656
33.6	1.15552
33.8	1.15698
34	1.15692
34.2	1.1576
34.4	1.15922
34.6	1.15985
34.8	1.15733
35	1.15719
35.2	1.15787
35.4	1.15944
35.6	1.15966
35.8	1.16491
36	1.16631
36.2	1.16542
36.4	1.16436
36.6	1.16784
36.8	1.16885
37	1.16893
37.2	1.17001
37.4	1.17124
37.6	1.16809
37.8	1.1686
38	1.17145
38.2	1.17576
38.4	1.17769
38.6	1.1809
38.8	1.18134
39	1.18186
39.2	1.17986
39.4	1.17978
39.6	1.17954
39.8	1.17977
40	1.18232
40.2	1.18277
40.4	1.18691
40.6	1.18766
40.8	1.18815
41	1.18731
41.2	1.19224
41.4	1.19079
41.6	1.19272
41.8	1.1928
42	1.19543
42.2	1.19298
42.4	1.19463
42.6	1.19376
42.8	1.19688
43	1.19384
43.2	1.19465
43.4	1.19439
43.6	1.19668
43.8	1.19529
44	1.19692
44.2	1.19468
44.4	1.19556
44.6	1.19643
44.8	1.19638
45	1.19552
45.2	1.19553
45.4	1.19428
45.6	1.19423
45.8	1.19709
46	1.20204
46.2	1.20727
46.4	1.20776
46.6	1.20789
46.8	1.20852
47	1.20499
47.2	1.20507
47.4	1.20712
47.6	1.20419
47.8	1.19981
48	1.20113
48.2	1.20127
48.4	1.20053
48.6	1.20667
48.8	1.20968
49	1.21167
49.2	1.20904
49.4	1.21168
49.6	1.20843
49.8	1.20905
50	1.20788
50.2	1.20706
50.4	1.20446
50.6	1.20653
50.8	1.20428
51	1.20432
51.2	1.20384
51.4	1.2054
51.6	1.20664
51.8	1.21009
52	1.2105
52.2	1.21101
52.4	1.20995
52.6	1.20639
52.8	1.20548
53	1.20397
53.2	1.20851
53.4	1.2093
53.6	1.20677
53.8	1.20537
54	1.20746
54.2	1.20107
54.4	1.20087
54.6	1.20465
54.8	1.20545
55	1.20646
55.2	1.21078
55.4	1.21016
55.6	1.21048
55.8	1.21104
56	1.20748
56.2	1.20792
56.4	1.20519
56.6	1.20342
56.8	1.20627
57	1.20741
57.2	1.20694
57.4	1.21224
57.6	1.21245
57.8	1.21318
58	1.21625
58.2	1.22044
58.4	1.21785
58.6	1.22124
58.8	1.21767
59	1.21782
59.2	1.21404
59.4	1.21326
59.6	1.21197
59.8	1.21029
60	1.20963
60.2	1.21452
60.4	1.21641
60.6	1.21984
60.8	1.22466
61	1.22458
61.2	1.22376
61.4	1.2225
61.6	1.22283
61.8	1.22335
62	1.22304
62.2	1.22028
62.4	1.22281
62.6	1.21972
62.8	1.21988
63	1.2228
63.2	1.2246
63.4	1.22737
63.6	1.22701
63.8	1.22385
64	1.22265
64.2	1.21991
64.4	1.21885
64.6	1.21786
64.8	1.21448
65	1.21411
65.2	1.21515
65.4	1.21549
65.6	1.21901
65.8	1.22285
66	1.22324
66.2	1.22798
66.4	1.23083
66.6	1.23419
66.8	1.2359
67	1.23698
67.2	1.23817
67.4	1.23388
67.6	1.23061
67.8	1.23549
68	1.23516
68.2	1.23081
68.4	1.23346
68.6	1.23618
68.8	1.23389
69	1.23262
69.2	1.2323
69.4	1.23418
69.6	1.23331
69.8	1.23411
70	1.2369
70.2	1.24072
70.4	1.23883
70.6	1.2374
70.8	1.23337
71	1.23061
71.2	1.22822
71.4	1.225
71.6	1.22807
71.8	1.2273
72	1.23379
72.2	1.24071
72.4	1.24478
72.6	1.24496
72.8	1.2518
73	1.24859
73.2	1.24052
73.4	1.24121
73.6	1.24002
73.8	1.23661
74	1.23987
74.2	1.2435
74.4	1.24783
74.6	1.25175
74.8	1.24987
75	1.25142
75.2	1.24992
75.4	1.24776
75.6	1.24395
75.8	1.25295
76	1.24937
76.2	1.25061
76.4	1.24897
76.6	1.24913
76.8	1.24546
77	1.24511
77.2	1.25231
77.4	1.25708
77.6	1.26368
77.8	1.26067
78	1.26391
78.2	1.26274
78.4	1.25866
78.6	1.2543
78.8	1.2568
79	1.25835
79.2	1.25772
79.4	1.26511
79.6	1.26567
79.8	1.26469
80	1.25773
80.2	1.25886
80.4	1.25132
80.6	1.25656
80.8	1.25783
81	1.26419
81.2	1.26102
81.4	1.26302
81.6	1.26546
81.8	1.269
82	1.26915
82.2	1.2697
82.4	1.26651
82.6	1.25818
82.8	1.25281
83	1.25301
83.2	1.24854
83.4	1.24666
83.6	1.24545
83.8	1.2449
84	1.24144
84.2	1.24351
84.4	1.24478
84.6	1.24628
84.8	1.24848
85	1.24768
85.2	1.24817
85.4	1.24942
85.6	1.25599
85.8	1.25519
86	1.25997
86.2	1.26032
86.4	1.26416
86.6	1.26202
86.8	1.26286
87	1.25809
87.2	1.26102
87.4	1.26111
87.6	1.24968
87.8	1.25216
88	1.25059
88.2	1.24774
88.4	1.24108
88.6	1.24603
88.8	1.24026
89	1.24443
89.2	1.24267
89.4	1.24515
89.6	1.25184
89.8	1.25668
90	1.25768
90.2	1.259
90.4	1.26018
90.6	1.25504
90.8	1.25303
91	1.24383
91.2	1.24287
91.4	1.24514
91.6	1.24334
91.8	1.24183
92	1.24401
92.2	1.24525
92.4	1.23748
92.6	1.23904
92.8	1.24529
93	1.25101
93.2	1.24948
93.4	1.25035
93.6	1.25176
93.8	1.2473
94	1.24206
94.2	1.24694
94.4	1.25017
94.6	1.2457
94.8	1.2489
95	1.26108
95.2	1.25631
95.4	1.25539
95.6	1.25911
95.8	1.25895
96	1.25308
96.2	1.25647
96.4	1.26302
96.6	1.26058
96.8	1.26101
97	1.26127
97.2	1.2629
97.4	1.2588
97.6	1.26507
97.8	1.26961
98	1.26623
98.2	1.26395
98.4	1.26928
98.6	1.26572
98.8	1.2591
99	1.26106
99.2	1.26117
99.4	1.2505
99.6	1.24877
99.8	1.25036
100	1.24738
100.2	1.25177
100.4	1.25763
100.6	1.2549
100.8	1.2499
101	1.25447
101.2	1.25082
101.4	1.24834
101.6	1.25617
101.8	1.26033
102	1.25591
102.2	1.25598
102.4	1.26062
102.6	1.25012
102.8	1.25164
103	1.25591
103.2	1.25421
103.4	1.25157
103.6	1.26429
103.8	1.26614
104	1.26693
104.2	1.2672
104.4	1.26889
104.6	1.26508
104.8	1.25979
105	1.25895
105.2	1.25814
105.4	1.2513
105.6	1.25265
105.8	1.2567
106	1.25777
106.2	1.2603
106.4	1.26804
106.6	1.27116
106.8	1.26395
107	1.26059
107.2	1.2561
107.4	1.25432
107.6	1.2506
107.8	1.26316
108	1.26101
108.2	1.26577
108.4	1.27097
108.6	1.27258
108.8	1.2633
109	1.26257
109.2	1.25845
109.4	1.24974
109.6	1.2516
109.8	1.25469
110	1.26022
110.2	1.26014
110.4	1.26672
110.6	1.25944
110.8	1.25276
111	1.25112
111.2	1.25487
111.4	1.25134
111.6	1.25718
111.8	1.2667
112	1.26828
112.2	1.26951
112.4	1.27567
112.6	1.27892
112.8	1.2701
113	1.2634
113.2	1.2548
113.4	1.25128
113.6	1.24866
113.8	1.24741
114	1.25453
114.2	1.25562
114.4	1.2575
114.6	1.25504
114.8	1.26367
115	1.26497
115.2	1.27322
115.4	1.2712
115.6	1.2727
115.8	1.26633
116	1.26872
116.2	1.26549
116.4	1.2624
