t	x
0	1
0.1	1.00056
0.2	1.00125
0.3	1.00245
0.4	1.0037
0.5	1.00449
0.6	1.00509
0.7	1.0061
0.8	1.00693
0.9	1.00801
1	1.00867
1.1	1.00947
1.2	1.01018
1.3	1.01052
1.4	1.01111
1.5	1.01156
1.6	1.01179
1.7	1.01163
1.8	1.01203
1.9	1.01315
2	1.0149
2.1	1.01603
2.2	1.01685
2.3	1.01806
2.4	1.01934
2.5	1.02047
2.6	1.0212
2.7	1.02239
2.8	1.02299
2.9	1.02429
3	1.02609
3.1	1.02747
3.2	1.02905
3.3	1.03052
3.4	1.03056
3.5	1.03202
3.6	1.03423
3.7	1.03419
3.8	1.03518
3.9	1.03626
4	1.03843
4.1	1.04111
4.2	1.04222
4.3	1.04389
4.4	1.04673
4.5	1.05046
4.6	1.05259
4.7	1.05478
4.8	1.05407
4.9	1.05572
5	1.05591
5.1	1.05622
5.2	1.05633
5.3	1.05957
5.4	1.0601
5.5	1.06296
5.6	1.06547
5.7	1.06537
5.8	1.06711
5.9	1.06791
6	1.06766
6.1	1.06883
6.2	1.06879
6.3	1.06767
6.4	1.07161
6.5	1.07429
6.6	1.07515
6.7	1.07611
6.8	1.07769
6.9	1.08039
7	1.07944
7.1	1.07632
7.2	1.07653
7.3	1.07726
7.4	1.07646
7.5	1.07411
7.6	1.07134
7.7	1.075
7.8	1.07599
7.9	1.07669
8	1.07602
8.1	1.07528
8.2	1.07259
8.3	1.07262
8.4	1.07229
8.5	1.07328
8.6	1.07144
8.7	1.07221
8.8	1.07069
8.9	1.07301
9	1.07293
9.1	1.07049
9.2	1.06615
9.3	1.06206
9.4	1.0604
9.5	1.06034
9.6	1.05829
9.7	1.05411
9.8	1.05155
9.9	1.05314
10	1.05051
10.1	1.04927
10.2	1.05119
10.3	1.04875
10.4	1.05103
10.5	1.04842
10.6	1.04584
10.7	1.04872
10.8	1.04499
10.9	1.03894
11	1.03794
11.1	1.03637
11.2	1.0358
11.3	1.03446
11.4	1.02717
11.5	1.02686
11.6	1.02566
11.7	1.02568
11.8	1.02516
11.9	1.02481
12	1.0247
12.1	1.02879
12.2	1.02465
12.3	1.02661
12.4	1.02696
12.5	1.024
12.6	1.02658
12.7	1.02421
12.8	1.02549
12.9	1.02554
13	1.01889
13.1	1.01601
13.2	1.01863
13.3	1.01673
13.4	1.01752
13.5	1.01473
13.6	1.01921
13.7	1.01981
13.8	1.02006
13.9	1.02022
14	1.01944
14.1	1.02265
14.2	1.02478
14.3	1.02513
14.4	1.02737
14.5	1.02527
14.6	1.02423
14.7	1.02261
14.8	1.02217
14.9	1.01882
15	1.01342
15.1	1.01385
15.2	1.01904
15.3	1.01916
15.4	1.02238
15.5	1.02241
15.6	1.02281
15.7	1.0247
15.8	1.02802
15.9	1.02334
16	1.02339
16.1	1.02351
16.2	1.02225
16.3	1.02262
16.4	1.02536
16.5	1.02312
16.6	1.02732
16.7	1.02132
16.8	1.01875
16.9	1.01938
17	1.01545
17.1	1.01775
17.2	1.01834
17.3	1.01671
17.4	1.02356
17.5	1.02517
17.6	1.02323
17.7	1.02829
17.8	1.0247
17.9	1.02588
18	1.02395
18.1	1.02526
18.2	1.02233
18.3	1.02213
18.4	1.02194
18.5	1.01999
18.6	1.01497
18.7	1.01572
18.8	1.01338
18.9	1.01204
19	1.01028
19.1	1.01646
19.2	1.02063
19.3	1.02355
19.4	1.02838
19.5	1.02476
19.6	1.028
19.7	1.02811
19.8	1.0272
19.9	1.02659
20	1.02514
20.1	1.02187
20.2	1.02711
20.3	1.02765
20.4	1.03189
20.5	1.0261
20.6	1.02381
20.7	1.02584
20.8	1.03451
20.9	1.03052
21	1.03216
21.1	1.02989
21.2	1.03097
21.3	1.03884
21.4	1.04053
21.5	1.03994
21.6	1.04566
21.7	1.04159
21.8	1.04249
21.9	1.04537
22	1.04027
22.1	1.0433
22.2	1.03691
22.3	1.03807
22.4	1.04012
22.5	1.04339
22.6	1.04229
22.7	1.04824
22.8	1.03956
22.9	1.04157
23	1.04075
23.1	1.04325
23.2	1.04328
23.3	1.04173
23.4	1.02933
23.5	1.03411
23.6	1.03314
23.7	1.03705
23.8	1.03724
23.9	1.03706
24	1.03445
24.1	1.04309
24.2	1.04362
24.3	1.04503
24.4	1.03878
24.5	1.03808
24.6	1.03933
24.7	1.04331
24.8	1.04445
24.9	1.04315
25	1.04138
25.1	1.0421
25.2	1.03958
25.3	1.03411
25.4	1.03316
25.5	1.03344
25.6	1.03999
25.7	1.04125
25.8	1.03744
25.9	1.0369
26	1.04127
26.1	1.0441
26.2	1.04233
26.3	1.04121
26.4	1.03932
26.5	1.04681
26.6	1.05187
26.7	1.0519
26.8	1.05269
26.9	1.04611
27	1.04
27.1	1.04591
27.2	1.04591
27.3	1.04198
27.4	1.04
27.5	1.03403
27.6	1.04025
27.7	1.04634
27.8	1.04649
27.9	1.0443
28	1.05384
28.1	1.05647
28.2	1.06239
28.3	1.0616
28.4	1.05669
28.5	1.05911
28.6	1.06032
28.7	1.05688
28.8	1.05731
28.9	1.05842
29	1.06266
29.1	1.06351
29.2	1.05467
29.3	1.0537
29.4	1.05566
29.5	1.05585
29.6	1.05138
29.7	1.04707
29.8	1.0496
29.9	1.05499
30	1.04962
30.1	1.04523
30.2	1.04635
30.3	1.04738
30.4	1.05581
30.5	1.05407
30.6	1.05091
30.7	1.0537
30.8	1.05134
30.9	1.04996
31	1.0486
31.1	1.04219
31.2	1.04138
31.3	1.04644
