t	x
0	1
0.1	1.0006
0.2	1.00125
0.3	1.00195
0.4	1.00269
0.5	1.00349
0.6	1.00434
0.7	1.00525
0.8	1.00622
0.9	1.00725
1	1.00834
1.1	1.00949
1.2	1.01072
1.3	1.01201
1.4	1.01338
1.5	1.01482
1.6	1.01633
1.7	1.01792
1.8	1.01959
1.9	1.02135
2	1.02318
2.1	1.0251
2.2	1.02711
2.3	1.02919
2.4	1.03136
2.5	1.03362
2.6	1.03595
2.7	1.03836
2.8	1.04085
2.9	1.04341
3	1.04603
3.1	1.04871
3.2	1.05144
3.3	1.05421
3.4	1.05701
3.5	1.05982
3.6	1.06264
3.7	1.06544
3.8	1.0682
3.9	1.07092
4	1.07356
4.1	1.07611
4.2	1.07854
4.3	1.08083
4.4	1.08296
4.5	1.08489
4.6	1.08661
4.7	1.0881
4.8	1.08932
4.9	1.09026
5	1.0909
5.1	1.09122
5.2	1.09121
5.3	1.09086
5.4	1.09017
5.5	1.08914
5.6	1.08776
5.7	1.08605
5.8	1.08402
5.9	1.08169
6	1.07908
6.1	1.07621
6.2	1.07312
6.3	1.06983
6.4	1.06638
6.5	1.06281
6.6	1.05916
6.7	1.05546
6.8	1.05175
6.9	1.04808
7	1.04447
7.1	1.04096
7.2	1.03759
7.3	1.03439
7.4	1.03138
7.5	1.02859
7.6	1.02605
7.7	1.02376
7.8	1.02175
7.9	1.02002
8	1.0186
8.1	1.01747
8.2	1.01665
8.3	1.01613
8.4	1.01591
8.5	1.01599
8.6	1.01636
8.7	1.017
8.8	1.01791
8.9	1.01906
9	1.02046
9.1	1.02206
9.2	1.02387
9.3	1.02586
9.4	1.02801
9.5	1.0303
9.6	1.03271
9.7	1.03522
9.8	1.03781
9.9	1.04046
10	1.04314
10.1	1.04585
10.2	1.04856
10.3	1.05125
10.4	1.0539
10.5	1.05651
10.6	1.05906
10.7	1.06154
10.8	1.06392
10.9	1.06622
11	1.06841
11.1	1.07049
11.2	1.07245
11.3	1.07429
11.4	1.07601
11.5	1.0776
11.6	1.07907
11.7	1.08041
