t	x
0	1
0.2	1.00399
0.4	1.00953
0.6	1.0159
0.8	1.02225
1	1.02775
1.2	1.03198
1.4	1.03599
1.6	1.03908
1.8	1.04266
2	1.04562
2.2	1.04807
2.4	1.05185
2.6	1.05677
2.8	1.06172
3	1.06642
3.2	1.06998
3.4	1.0756
3.6	1.08005
3.8	1.08448
4	1.08893
4.2	1.09261
4.4	1.09764
4.6	1.09951
4.8	1.10348
5	1.10556
5.2	1.11049
5.4	1.11217
5.6	1.11526
5.8	1.11525
6	1.11719
6.2	1.11715
6.4	1.11839
6.6	1.11674
6.8	1.11844
7	1.11877
7.2	1.1201
7.4	1.11881
7.6	1.11679
7.8	1.11675
8	1.11696
8.2	1.11735
8.4	1.1165
8.6	1.11529
8.8	1.1143
9	1.11372
9.2	1.11409
9.4	1.11337
9.6	1.11149
9.8	1.10421
10	1.10396
10.2	1.10415
10.4	1.10723
10.6	1.10808
10.8	1.1072
11	1.10739
11.2	1.10476
11.4	1.10378
11.6	1.10534
11.8	1.106
12	1.10964
12.2	1.10807
12.4	1.10913
12.6	1.11046
12.8	1.11384
13	1.11605
13.2	1.11452
13.4	1.11555
13.6	1.11774
13.8	1.11951
14	1.11946
14.2	1.12322
14.4	1.12643
14.6	1.13098
14.8	1.13219
15	1.13328
15.2	1.13363
15.4	1.13529
15.6	1.13938
15.8	1.1457
16	1.14586
16.2	1.14935
16.4	1.14902
16.6	1.15182
16.8	1.15214
17	1.15661
17.2	1.15884
17.4	1.16621
17.6	1.17146
17.8	1.18011
18	1.18475
18.2	1.1872
18.4	1.19335
18.6	1.19465
18.8	1.19761
19	1.19931
19.2	1.20334
19.4	1.21215
19.6	1.2157
19.8	1.21765
20	1.21095
20.2	1.20958
20.4	1.21139
20.6	1.21944
20.8	1.21571
21	1.20965
21.2	1.20662
21.4	1.20773
21.6	1.21544
21.8	1.21465
22	1.21689
22.2	1.21371
22.4	1.20481
22.6	1.20094
22.8	1.19375
23	1.19511
23.2	1.18495
23.4	1.18339
23.6	1.17632
23.8	1.17447
24	1.16294
24.2	1.15169
24.4	1.15266
24.6	1.15061
24.8	1.15337
25	1.14307
25.2	1.1376
25.4	1.13312
25.6	1.13438
25.8	1.13871
26	1.13675
26.2	1.13799
26.4	1.13719
26.6	1.13634
26.8	1.13364
27	1.12894
27.2	1.13067
27.4	1.13044
27.6	1.13372
27.8	1.13475
28	1.13533
28.2	1.13073
28.4	1.12874
28.6	1.12417
28.8	1.12539
29	1.13222
29.2	1.13791
29.4	1.14595
29.6	1.14186
29.8	1.14682
30	1.14133
30.2	1.14452
30.4	1.14578
30.6	1.15185
30.8	1.15481
31	1.1537
31.2	1.15544
31.4	1.15655
31.6	1.16331
31.8	1.16782
32	1.1707
32.2	1.16838
32.4	1.16854
32.6	1.17357
32.8	1.17794
33	1.18247
33.2	1.18051
33.4	1.18322
33.6	1.18589
33.8	1.18597
34	1.18719
34.2	1.18702
34.4	1.20107
34.6	1.1981
34.8	1.19661
35	1.18988
35.2	1.19366
35.4	1.18903
35.6	1.1854
35.8	1.17979
36	1.18076
36.2	1.18688
36.4	1.19107
36.6	1.19698
36.8	1.1926
37	1.19056
37.2	1.18845
37.4	1.18799
37.6	1.18209
37.8	1.18288
38	1.18094
38.2	1.18632
38.4	1.17574
38.6	1.18366
38.8	1.19088
39	1.19858
39.2	1.19254
39.4	1.19169
39.6	1.19576
39.8	1.19661
40	1.19653
40.2	1.19952
40.4	1.20282
40.6	1.20062
40.8	1.19686
41	1.19849
41.2	1.20272
41.4	1.20327
41.6	1.21036
41.8	1.21066
42	1.21754
42.2	1.20204
42.4	1.20266
42.6	1.20614
42.8	1.20593
43	1.20246
43.2	1.20611
43.4	1.21437
43.6	1.22271
43.8	1.21275
44	1.21137
44.2	1.20692
44.4	1.21018
44.6	1.21224
44.8	1.21546
45	1.2233
45.2	1.2311
45.4	1.22603
45.6	1.21536
45.8	1.21012
46	1.21147
46.2	1.21436
46.4	1.2149
46.6	1.21487
46.8	1.21221
47	1.20921
47.2	1.21005
47.4	1.2149
47.6	1.21821
47.8	1.22079
48	1.21767
48.2	1.20761
48.4	1.20687
48.6	1.20484
48.8	1.20883
49	1.20434
49.2	1.21082
49.4	1.21893
49.6	1.21675
49.8	1.20934
50	1.20191
50.2	1.20395
50.4	1.20472
50.6	1.2045
50.8	1.2092
51	1.21581
51.2	1.22095
51.4	1.21906
51.6	1.21725
51.8	1.22071
52	1.22358
52.2	1.21757
52.4	1.22133
52.6	1.22328
52.8	1.22752
53	1.224
53.2	1.2152
53.4	1.2158
53.6	1.21346
53.8	1.21618
54	1.2209
54.2	1.22406
54.4	1.22461
54.6	1.21988
54.8	1.21311
55	1.21808
55.2	1.22364
55.4	1.23314
55.6	1.23031
55.8	1.22346
56	1.21475
56.2	1.21473
56.4	1.21447
56.6	1.21748
56.8	1.22076
57	1.22306
57.2	1.22018
57.4	1.22621
57.6	1.23075
57.8	1.23076
58	1.21963
58.2	1.20582
58.4	1.21106
58.6	1.20545
58.8	1.21846
59	1.21669
59.2	1.22856
59.4	1.22179
59.6	1.2194
59.8	1.2205
60	1.22682
60.2	1.23649
60.4	1.22763
60.6	1.23313
60.8	1.22249
61	1.23483
61.2	1.23413
61.4	1.23857
61.6	1.23621
61.8	1.24002
62	1.23921
62.2	1.23758
62.4	1.22759
62.6	1.21959
62.8	1.2181
63	1.20526
63.2	1.21848
63.4	1.21564
63.6	1.22516
63.8	1.22512
64	1.23389
64.2	1.22898
64.4	1.22459
64.6	1.21355
64.8	1.22612
65	1.23414
65.2	1.23105
65.4	1.22144
65.6	1.20889
65.8	1.21992
66	1.22099
66.2	1.23082
66.4	1.22813
66.6	1.24259
66.8	1.23872
67	1.23509
67.2	1.22879
67.4	1.22923
67.6	1.23179
67.8	1.21685
68	1.21549
68.2	1.22098
68.4	1.22672
68.6	1.22923
68.8	1.2142
69	1.22227
69.2	1.22019
69.4	1.23826
69.6	1.22867
69.8	1.22923
70	1.2244
70.2	1.23178
70.4	1.23065
70.6	1.22965
70.8	1.22629
71	1.23319
71.2	1.22388
71.4	1.22505
71.6	1.21872
71.8	1.21961
72	1.23189
72.2	1.22224
72.4	1.22692
72.6	1.21407
72.8	1.21599
73	1.21433
73.2	1.21975
73.4	1.22677
73.6	1.22091
73.8	1.21567
74	1.21015
74.2	1.21572
74.4	1.22444
74.6	1.22909
74.8	1.22023
75	1.21729
75.2	1.21543
75.4	1.23085
75.6	1.22482
75.8	1.22709
76	1.22868
76.2	1.22972
76.4	1.22529
76.6	1.22943
76.8	1.22697
77	1.23582
77.2	1.22236
77.4	1.234
77.6	1.22793
77.8	1.23424
78	1.21341
78.2	1.21046
78.4	1.2143
78.6	1.22209
78.8	1.21398
79	1.21911
79.2	1.22351
79.4	1.23064
79.6	1.22303
79.8	1.2253
80	1.23706
