t	x
0	1
0.1	0.999
0.2	1.001
0.3	1.001
0.4	1.002
0.5	1.001
0.6	1.001
0.7	1.001
0.8	1.002
0.9	1.002
1	1.003
1.1	1.004
1.2	1.004
1.3	1.004
1.4	1.004
1.5	1.004
1.6	1.005
1.7	1.005
1.8	1.005
1.9	1.004
2	1.004
2.1	1.005
2.2	1.005
2.3	1.006
2.4	1.006
2.5	1.007
2.6	1.008
2.7	1.008
2.8	1.008
2.9	1.008
3	1.009
3.1	1.01
3.2	1.011
3.3	1.011
3.4	1.013
3.5	1.013
3.6	1.014
3.7	1.015
3.8	1.016
3.9	1.016
4	1.018
4.1	1.019
4.2	1.022
4.3	1.022
4.4	1.023
4.5	1.024
4.6	1.026
4.7	1.029
4.8	1.028
4.9	1.026
5	1.027
5.1	1.031
5.2	1.035
5.3	1.036
5.4	1.035
5.5	1.036
5.6	1.037
5.7	1.039
5.8	1.037
5.9	1.036
6	1.035
6.1	1.037
6.2	1.035
6.3	1.034
6.4	1.034
6.5	1.035
6.6	1.032
6.7	1.033
6.8	1.034
6.9	1.038
7	1.033
7.1	1.034
7.2	1.031
7.3	1.034
7.4	1.031
7.5	1.03
7.6	1.032
7.7	1.037
7.8	1.038
7.9	1.034
8	1.031
8.1	1.03
8.2	1.03
8.3	1.03
8.4	1.031
8.5	1.032
8.6	1.033
8.7	1.032
8.8	1.035
8.9	1.035
9	1.036
9.1	1.037
9.2	1.037
9.3	1.045
9.4	1.043
9.5	1.05
9.6	1.044
9.7	1.046
9.8	1.04
9.9	1.043
10	1.042
10.1	1.048
10.2	1.05
10.3	1.052
10.4	1.048
10.5	1.05
10.6	1.052
10.7	1.056
10.8	1.049
10.9	1.046
11	1.047
11.1	1.049
11.2	1.05
11.3	1.046
11.4	1.042
11.5	1.04
11.6	1.037
11.7	1.039
11.8	1.036
11.9	1.039
12	1.037
12.1	1.044
12.2	1.042
12.3	1.042
12.4	1.04
12.5	1.034
12.6	1.028
12.7	1.028
12.8	1.03
12.9	1.034
13	1.03
13.1	1.031
13.2	1.026
13.3	1.03
13.4	1.032
13.5	1.037
13.6	1.034
13.7	1.031
13.8	1.031
13.9	1.031
14	1.034
14.1	1.04
14.2	1.039
14.3	1.041
14.4	1.044
14.5	1.042
14.6	1.037
14.7	1.028
14.8	1.03
14.9	1.039
15	1.037
15.1	1.041
15.2	1.034
15.3	1.041
15.4	1.039
15.5	1.04
15.6	1.037
15.7	1.041
15.8	1.045
15.9	1.049
16	1.045
16.1	1.049
16.2	1.041
16.3	1.041
16.4	1.036
16.5	1.045
16.6	1.045
16.7	1.046
16.8	1.041
16.9	1.039
17	1.039
17.1	1.047
17.2	1.053
17.3	1.059
17.4	1.052
17.5	1.047
17.6	1.049
17.7	1.053
17.8	1.054
17.9	1.051
18	1.057
18.1	1.06
18.2	1.058
18.3	1.049
18.4	1.046
18.5	1.044
18.6	1.043
18.7	1.05
18.8	1.047
18.9	1.05
19	1.045
19.1	1.054
19.2	1.054
19.3	1.057
19.4	1.055
19.5	1.058
19.6	1.058
19.7	1.061
19.8	1.061
19.9	1.061
20	1.055
20.1	1.052
20.2	1.048
20.3	1.05
20.4	1.043
20.5	1.051
20.6	1.053
20.7	1.054
20.8	1.048
20.9	1.048
21	1.053
21.1	1.059
21.2	1.062
21.3	1.064
21.4	1.062
21.5	1.056
21.6	1.057
21.7	1.046
21.8	1.044
21.9	1.041
22	1.046
22.1	1.047
22.2	1.044
22.3	1.044
22.4	1.042
22.5	1.043
22.6	1.046
22.7	1.054
22.8	1.046
22.9	1.044
23	1.037
23.1	1.044
23.2	1.051
23.3	1.048
23.4	1.04
23.5	1.029
23.6	1.03
23.7	1.041
23.8	1.045
23.9	1.043
24	1.032
24.1	1.031
24.2	1.033
24.3	1.04
24.4	1.039
24.5	1.038
24.6	1.038
24.7	1.034
24.8	1.034
24.9	1.036
25	1.041
25.1	1.045
25.2	1.039
25.3	1.04
25.4	1.041
25.5	1.05
25.6	1.038
25.7	1.037
25.8	1.032
25.9	1.038
26	1.035
26.1	1.022
26.2	1.024
26.3	1.016
26.4	1.022
26.5	1.019
26.6	1.027
26.7	1.031
26.8	1.032
26.9	1.025
27	1.024
27.1	1.027
27.2	1.033
27.3	1.032
27.4	1.028
27.5	1.022
27.6	1.013
27.7	1.008
27.8	1.003
27.9	1.009
28	1.02
28.1	1.032
28.2	1.038
28.3	1.025
28.4	1.024
28.5	1.023
28.6	1.017
28.7	1.016
28.8	1.01
28.9	1.023
29	1.023
29.1	1.021
29.2	1.018
29.3	1.021
29.4	1.03
29.5	1.031
29.6	1.038
29.7	1.04
29.8	1.045
29.9	1.036
30	1.028
30.1	1.021
30.2	1.029
30.3	1.034
30.4	1.036
30.5	1.031
30.6	1.032
30.7	1.035
30.8	1.047
30.9	1.056
31	1.063
31.1	1.058
31.2	1.053
31.3	1.05
31.4	1.051
31.5	1.048
31.6	1.055
31.7	1.063
31.8	1.078
31.9	1.069
32	1.071
32.1	1.076
32.2	1.086
32.3	1.09
32.4	1.085
32.5	1.078
32.6	1.064
32.7	1.062
32.8	1.059
32.9	1.062
33	1.049
33.1	1.05
33.2	1.052
33.3	1.066
33.4	1.072
33.5	1.075
33.6	1.064
33.7	1.065
33.8	1.06
33.9	1.062
34	1.066
34.1	1.06
34.2	1.078
34.3	1.08
34.4	1.088
34.5	1.072
34.6	1.071
34.7	1.076
34.8	1.075
34.9	1.073
35	1.067
35.1	1.074
35.2	1.071
35.3	1.07
35.4	1.062
35.5	1.065
35.6	1.075
35.7	1.078
35.8	1.08
35.9	1.072
36	1.078
36.1	1.075
36.2	1.074
36.3	1.072
36.4	1.076
36.5	1.076
36.6	1.075
36.7	1.083
36.8	1.094
36.9	1.09
37	1.078
37.1	1.066
37.2	1.075
37.3	1.069
37.4	1.078
37.5	1.074
37.6	1.087
37.7	1.081
37.8	1.081
37.9	1.08
38	1.094
38.1	1.098
38.2	1.089
38.3	1.081
38.4	1.077
38.5	1.093
38.6	1.096
38.7	1.109
38.8	1.102
38.9	1.087
39	1.063
39.1	1.053
39.2	1.056
39.3	1.076
39.4	1.082
39.5	1.083
39.6	1.073
39.7	1.082
39.8	1.094
39.9	1.103
40	1.095
40.1	1.078
40.2	1.075
40.3	1.067
40.4	1.078
40.5	1.078
40.6	1.081
40.7	1.084
40.8	1.096
40.9	1.102
41	1.099
41.1	1.089
41.2	1.089
41.3	1.089
41.4	1.09
41.5	1.09
41.6	1.075
41.7	1.077
41.8	1.082
41.9	1.085
42	1.066
42.1	1.061
42.2	1.063
42.3	1.08
42.4	1.074
42.5	1.094
42.6	1.094
42.7	1.104
42.8	1.099
42.9	1.103
43	1.104
43.1	1.092
43.2	1.087
43.3	1.079
43.4	1.075
43.5	1.07
43.6	1.079
43.7	1.089
43.8	1.086
43.9	1.09
44	1.1
44.1	1.099
44.2	1.102
44.3	1.099
44.4	1.101
44.5	1.09
44.6	1.078
44.7	1.083
44.8	1.09
44.9	1.099
45	1.084
45.1	1.068
45.2	1.069
45.3	1.077
45.4	1.08
45.5	1.074
45.6	1.09
45.7	1.097
45.8	1.1
45.9	1.091
46	1.092
46.1	1.079
46.2	1.076
46.3	1.073
46.4	1.089
46.5	1.09
46.6	1.092
46.7	1.08
46.8	1.072
46.9	1.069
47	1.063
47.1	1.083
47.2	1.094
47.3	1.091
47.4	1.093
47.5	1.077
47.6	1.089
47.7	1.082
47.8	1.104
47.9	1.108
48	1.108
48.1	1.11
48.2	1.103
48.3	1.089
48.4	1.067
48.5	1.09
48.6	1.102
48.7	1.104
48.8	1.081
48.9	1.072
49	1.08
49.1	1.08
49.2	1.081
49.3	1.087
49.4	1.094
49.5	1.101
49.6	1.112
49.7	1.11
49.8	1.115
49.9	1.08
50	1.078
50.1	1.077
50.2	1.106
50.3	1.096
50.4	1.104
50.5	1.085
50.6	1.11
50.7	1.093
50.8	1.09
50.9	1.073
51	1.068
51.1	1.087
51.2	1.092
51.3	1.097
51.4	1.091
51.5	1.072
51.6	1.079
51.7	1.086
51.8	1.101
51.9	1.108
52	1.107
52.1	1.115
52.2	1.095
52.3	1.076
52.4	1.077
52.5	1.083
52.6	1.094
52.7	1.073
52.8	1.068
52.9	1.07
53	1.095
53.1	1.095
53.2	1.096
53.3	1.081
53.4	1.078
53.5	1.084
53.6	1.1
53.7	1.113
53.8	1.116
53.9	1.11
54	1.105
54.1	1.092
54.2	1.092
54.3	1.106
54.4	1.106
54.5	1.089
54.6	1.062
54.7	1.068
54.8	1.078
54.9	1.098
55	1.105
55.1	1.108
55.2	1.105
55.3	1.1
55.4	1.094
55.5	1.094
55.6	1.09
55.7	1.095
55.8	1.11
55.9	1.112
56	1.101
56.1	1.088
56.2	1.091
56.3	1.11
56.4	1.114
56.5	1.104
56.6	1.095
56.7	1.084
56.8	1.085
56.9	1.078
57	1.087
57.1	1.094
57.2	1.116
57.3	1.11
57.4	1.116
57.5	1.088
57.6	1.096
57.7	1.1
57.8	1.105
57.9	1.097
58	1.086
58.1	1.102
58.2	1.095
58.3	1.085
58.4	1.074
58.5	1.084
58.6	1.098
58.7	1.102
58.8	1.117
58.9	1.112
59	1.105
59.1	1.097
59.2	1.104
59.3	1.113
59.4	1.088
59.5	1.081
59.6	1.08
59.7	1.092
59.8	1.103
59.9	1.096
60	1.081
60.1	1.078
60.2	1.091
60.3	1.113
60.4	1.115
60.5	1.094
60.6	1.099
60.7	1.09
60.8	1.095
60.9	1.081
61	1.066
61.1	1.062
61.2	1.07
61.3	1.079
61.4	1.096
61.5	1.098
61.6	1.108
61.7	1.095
61.8	1.095
61.9	1.092
62	1.105
62.1	1.091
62.2	1.096
62.3	1.088
62.4	1.103
62.5	1.097
62.6	1.119
62.7	1.126
62.8	1.126
62.9	1.111
63	1.101
63.1	1.109
63.2	1.101
63.3	1.092
63.4	1.09
63.5	1.102
63.6	1.101
63.7	1.089
63.8	1.078
63.9	1.092
64	1.077
64.1	1.065
64.2	1.064
64.3	1.091
64.4	1.1
64.5	1.091
64.6	1.091
64.7	1.097
64.8	1.089
64.9	1.093
65	1.096
65.1	1.09
65.2	1.073
65.3	1.065
65.4	1.092
65.5	1.084
65.6	1.09
65.7	1.077
65.8	1.081
65.9	1.083
66	1.106
66.1	1.102
66.2	1.099
66.3	1.076
66.4	1.089
66.5	1.096
66.6	1.09
66.7	1.081
66.8	1.066
66.9	1.081
67	1.085
67.1	1.107
67.2	1.093
67.3	1.103
67.4	1.096
67.5	1.115
67.6	1.119
67.7	1.112
67.8	1.104
67.9	1.08
68	1.074
68.1	1.077
68.2	1.084
68.3	1.087
68.4	1.066
68.5	1.081
68.6	1.081
68.7	1.109
68.8	1.114
68.9	1.11
69	1.083
69.1	1.073
69.2	1.084
69.3	1.1
69.4	1.092
69.5	1.087
69.6	1.083
69.7	1.106
69.8	1.105
69.9	1.088
70	1.091
70.1	1.081
70.2	1.085
70.3	1.065
70.4	1.08
70.5	1.1
70.6	1.095
70.7	1.082
70.8	1.077
70.9	1.096
71	1.109
71.1	1.106
71.2	1.105
71.3	1.091
71.4	1.09
71.5	1.081
71.6	1.092
71.7	1.098
71.8	1.101
71.9	1.115
72	1.113
72.1	1.114
72.2	1.088
72.3	1.091
72.4	1.075
72.5	1.088
72.6	1.085
72.7	1.094
72.8	1.095
72.9	1.095
73	1.097
73.1	1.102
73.2	1.099
73.3	1.074
73.4	1.067
73.5	1.055
73.6	1.09
73.7	1.099
73.8	1.112
73.9	1.105
74	1.089
74.1	1.09
74.2	1.073
74.3	1.069
74.4	1.077
74.5	1.096
74.6	1.101
74.7	1.092
74.8	1.082
74.9	1.099
75	1.088
75.1	1.11
75.2	1.097
75.3	1.115
75.4	1.089
75.5	1.088
75.6	1.099
75.7	1.116
75.8	1.122
75.9	1.111
76	1.101
76.1	1.085
76.2	1.075
76.3	1.08
76.4	1.086
76.5	1.09
76.6	1.093
76.7	1.081
76.8	1.099
76.9	1.092
77	1.094
77.1	1.076
77.2	1.089
77.3	1.115
77.4	1.119
77.5	1.107
77.6	1.094
77.7	1.083
77.8	1.078
77.9	1.08
78	1.082
78.1	1.07
78.2	1.057
78.3	1.078
78.4	1.091
78.5	1.117
78.6	1.106
78.7	1.127
78.8	1.11
78.9	1.096
79	1.063
79.1	1.045
79.2	1.063
79.3	1.1
79.4	1.118
79.5	1.115
79.6	1.077
79.7	1.065
79.8	1.041
79.9	1.058
80	1.083
80.1	1.08
80.2	1.074
80.3	1.037
80.4	1.045
80.5	1.039
80.6	1.079
80.7	1.077
80.8	1.082
80.9	1.063
81	1.057
81.1	1.063
81.2	1.083
81.3	1.105
81.4	1.105
81.5	1.07
81.6	1.068
81.7	1.068
81.8	1.092
81.9	1.101
82	1.111
82.1	1.094
82.2	1.097
82.3	1.091
82.4	1.11
82.5	1.085
82.6	1.079
