t	x
0	1
0.2	0.99866
0.4	0.99631
0.6	0.99464
0.8	0.99095
1	0.99028
1.2	0.99296
1.4	0.99095
1.6	0.99162
1.8	0.99128
2	0.99028
2.2	0.9886
2.4	0.98491
2.6	0.98759
2.8	0.98592
3	0.98491
3.2	0.98457
3.4	0.98524
3.6	0.98256
3.8	0.98022
4	0.97653
4.2	0.98021
4.4	0.9782
4.6	0.97652
4.8	0.9725
5	0.97619
5.2	0.97284
5.4	0.96915
5.6	0.96177
5.8	0.96579
6	0.96311
6.2	0.96143
6.4	0.9554
6.6	0.96144
6.8	0.95976
7	0.95976
7.2	0.94937
7.4	0.95104
7.6	0.95071
7.8	0.95473
8	0.94769
8.2	0.93897
8.4	0.94333
8.6	0.94936
8.8	0.95708
9	0.95137
9.2	0.94601
9.4	0.94433
9.6	0.94534
9.8	0.94534
10	0.95372
10.2	0.9564
10.4	0.95707
10.6	0.95473
10.8	0.95238
11	0.96009
11.2	0.95875
11.4	0.96076
11.6	0.96814
11.8	0.96579
12	0.96814
12.2	0.95842
12.4	0.96647
12.6	0.97787
12.8	0.97887
13	0.98457
13.2	0.98793
13.4	0.99799
13.6	0.99765
13.8	1
14	1.00268
14.2	0.99732
14.4	0.98458
14.6	0.98223
14.8	0.99464
15	1.0057
15.2	1.00972
15.4	1.01341
15.6	1.01207
15.8	1.01476
16	1.01677
16.2	1.00604
16.4	1.00772
16.6	1.01476
16.8	1.04192
17	1.01677
17.2	1.00369
17.4	1.00671
17.6	1.04024
17.8	1.04796
18	1.0379
18.2	1.02649
18.4	0.99631
18.6	1.00536
18.8	1.01509
19	1.04628
19.2	1.0332
19.4	1.0275
19.6	1.02917
19.8	1.03957
20	1.02951
20.2	1.02112
20.4	0.99799
20.6	1.00738
20.8	1.02381
21	1.01308
21.2	1.02515
21.4	1.00469
21.6	1.01476
21.8	1.01241
22	1.02448
22.2	1.02582
22.4	1.00738
22.6	1.01643
22.8	1.0161
23	1.01777
23.2	0.98994
23.4	0.99464
23.6	1
23.8	1.00503
24	1.01442
24.2	1.03387
24.4	1.02314
24.6	1
24.8	0.97686
25	0.999
25.2	1.01509
25.4	1.01107
25.6	1.00536
25.8	1.00738
26	1.00268
26.2	0.99598
26.4	0.99564
26.6	0.99698
26.8	0.98759
27	0.99664
27.2	1.00033
27.4	1.00134
27.6	0.9943
27.8	1.00872
28	1.01744
28.2	1.01006
28.4	0.99229
28.6	0.99061
28.8	1
29	1.00369
29.2	1.00302
29.4	1.00134
29.6	1
29.8	1.01174
30	1.01174
30.2	1.02482
30.4	1.00537
30.6	0.99028
30.8	1.00268
31	1.0228
31.2	1.03756
31.4	1.0171
31.6	1.00805
31.8	1.00369
32	1.00101
32.2	0.99665
32.4	1.00604
32.6	1.02683
32.8	1.05366
33	1.05433
33.2	1.03286
33.4	1.03152
33.6	1.03454
33.8	1.06204
34	1.03253
34.2	1.00973
34.4	0.99095
34.6	1.01107
34.8	1.04192
35	1.03018
35.2	1.00805
35.4	0.99832
35.6	1.00335
35.8	1.02716
36	1.01744
36.2	1.03924
36.4	1.05332
36.6	1.0607
36.8	1.04225
37	1.03588
37.2	1.0161
37.4	1.02079
37.6	1.02549
37.8	1.05801
38	1.06908
38.2	1.06036
38.4	1.03085
38.6	1.03622
38.8	1.01912
39	1.04594
39.2	1.03823
39.4	1.0389
39.6	1.03555
