t	x
0	1
0.2	1.006
0.4	1.008
0.6	1.008
0.8	1.008
1	0.998
1.2	0.993
1.4	0.999
1.6	0.996
1.8	1.002
2	0.995
2.2	0.99
2.4	0.996
2.6	0.98
2.8	1.01
3	0.971
3.2	0.985
3.4	0.99
3.6	0.994
3.8	0.988
4	0.976
4.2	0.985
4.4	0.991
4.6	0.963
4.8	0.966
5	0.987
5.2	0.974
5.4	0.956
5.6	0.975
5.8	0.958
6	0.943
6.2	0.977
6.4	0.961
6.6	0.953
6.8	0.948
7	0.935
7.2	0.954
7.4	0.959
7.6	0.943
7.8	0.926
8	0.931
8.2	0.94
8.4	0.925
8.6	0.956
8.8	0.946
9	0.955
9.2	0.934
9.4	0.946
9.6	0.947
9.8	0.95
10	0.928
10.2	0.953
10.4	0.95
10.6	0.955
10.8	0.986
11	0.948
11.2	0.96
11.4	0.966
11.6	0.955
11.8	0.98
12	0.96
12.2	0.982
12.4	1.007
12.6	0.986
12.8	0.978
13	0.985
13.2	1.006
13.4	0.981
13.6	1.016
13.8	0.994
14	0.991
14.2	1.041
14.4	1.022
14.6	1.01
14.8	1.025
15	0.99
15.2	0.995
15.4	1.032
15.6	1.017
15.8	1.01
16	1.002
16.2	1.026
16.4	1.018
16.6	1.011
16.8	0.995
17	1.046
17.2	1.042
17.4	0.975
17.6	1.042
17.8	1.04
18	0.989
18.2	1.016
18.4	0.999
18.6	0.995
18.8	1.082
19	1.022
19.2	0.989
19.4	1.004
19.6	1.008
19.8	1
20	0.977
20.2	1.012
20.4	1.005
20.6	0.96
20.8	1.009
21	1
21.2	1.034
21.4	1
21.6	0.953
21.8	0.999
22	0.97
22.2	0.964
22.4	0.998
22.6	0.972
22.8	1.036
23	1.009
23.2	0.985
23.4	1.036
23.6	0.995
23.8	0.935
24	0.945
24.2	1.002
24.4	1.004
24.6	0.984
24.8	1.024
25	0.959
25.2	1.001
25.4	0.935
25.6	0.989
25.8	1.029
26	0.965
26.2	0.973
26.4	0.977
26.6	1.024
26.8	0.958
27	0.975
27.2	1.041
27.4	1.031
27.6	0.969
27.8	0.984
28	0.965
28.2	1.04
28.4	0.988
28.6	0.976
28.8	0.96
29	1.029
29.2	1.045
29.4	0.977
29.6	0.968
29.8	0.955
30	1.049
30.2	1.026
30.4	1.004
30.6	1.008
30.8	1.03
31	1.019
31.2	0.975
31.4	0.963
31.6	1.043
31.8	1.005
32	1.01
32.2	1.003
32.4	1.061
32.6	1.069
32.8	0.938
33	0.992
33.2	1.027
33.4	0.979
33.6	0.978
33.8	1.086
34	0.959
34.2	0.981
34.4	1.113
34.6	1.032
34.8	0.889
35	1.006
35.2	1.064
35.4	1.031
35.6	1.001
35.8	1.014
36	1.017
36.2	1.036
36.4	0.987
36.6	1.022
36.8	0.989
37	1.018
37.2	1.056
37.4	1.001
37.6	0.928
37.8	1.065
38	1.023
38.2	0.964
38.4	0.98
38.6	1.02
38.8	1.012
39	0.932
39.2	1.006
39.4	1.073
39.6	1.046
39.8	1.036
40	0.98
40.2	1.022
40.4	1.094
40.6	1.023
40.8	1.03
41	0.994
41.2	1.024
41.4	1
41.6	1.007
41.8	1.059
42	1.051
42.2	1.002
42.4	1.001
42.6	0.991
42.8	1.037
43	1.071
43.2	1.002
43.4	0.946
43.6	1.051
43.8	1.004
44	1.002
44.2	1.016
44.4	1.149
44.6	1
44.8	1.095
45	1.011
45.2	1.065
45.4	1.081
45.6	0.96
45.8	1.006
46	0.973
46.2	1.108
46.4	0.97
46.6	1.043
46.8	1.049
47	1.097
47.2	0.985
47.4	1.07
47.6	1.024
47.8	1.006
48	1.049
48.2	0.964
48.4	1.093
48.6	1.098
48.8	1.037
49	0.984
49.2	1.069
49.4	1.064
49.6	1.024
49.8	1.013
50	1.06
50.2	1.074
50.4	0.949
50.6	1.004
50.8	1.07
51	1.135
51.2	0.965
51.4	1.042
51.6	1.039
51.8	1.067
52	1.077
52.2	0.942
52.4	1.069
52.6	1.134
52.8	1.043
53	1.07
53.2	1.042
53.4	1.023
53.6	1.059
53.8	1.064
54	1.094
54.2	0.97
54.4	1.028
54.6	1.065
54.8	1.071
55	1.042
55.2	1.072
55.4	1.067
55.6	0.987
55.8	1.028
56	1.084
56.2	1.05
56.4	1.136
56.6	1.114
56.8	1.04
57	0.979
57.2	0.998
57.4	1.046
57.6	0.98
57.8	1.065
58	1.135
58.2	1.09
58.4	1.008
58.6	1.099
58.8	0.975
59	1.194
59.2	0.973
59.4	1.181
59.6	0.979
59.8	1.015
60	0.986
60.2	1.174
60.4	1.115
60.6	0.974
60.8	1.046
61	1.082
61.2	1.005
61.4	1.057
61.6	1.104
61.8	1.061
62	1.063
62.2	1.046
62.4	0.996
62.6	1.036
62.8	1.071
63	1.073
63.2	0.996
63.4	1.104
63.6	1.102
63.8	1.094
64	1.17
64.2	0.988
64.4	1.116
64.6	1.049
64.8	1.154
65	1.043
65.2	1.033
65.4	1.11
65.6	1.01
65.8	1.171
66	0.99
66.2	1.093
66.4	1.148
66.6	1.041
66.8	0.999
67	1.133
67.2	1.039
67.4	1.128
67.6	1.114
67.8	1.068
68	1.07
68.2	1.178
68.4	1.108
68.6	1.149
68.8	1.102
69	0.998
69.2	1.096
69.4	1.019
69.6	1.065
69.8	1.045
70	0.985
70.2	1.039
70.4	1.087
70.6	1.103
70.8	1.099
71	1.019
71.2	1.154
71.4	1.025
71.6	1.118
71.8	1.127
72	1.162
72.2	1.064
72.4	0.933
72.6	1.033
72.8	1.199
73	1.025
73.2	1.055
73.4	0.967
73.6	1.128
73.8	1.129
74	1.192
74.2	1.038
74.4	1.136
74.6	1.231
74.8	1.082
75	1.128
75.2	0.992
75.4	1.3
75.6	1.154
75.8	0.916
76	1.08
76.2	1.157
76.4	1.045
76.6	1.067
76.8	1.153
77	1.138
77.2	1.15
77.4	1.099
77.6	1.074
77.8	1.152
78	1.06
78.2	0.893
78.4	1.211
78.6	1.112
78.8	1.007
79	1.052
79.2	1.153
79.4	1.137
79.6	1.024
79.8	1.122
80	1.151
80.2	1.139
80.4	1.129
80.6	1.015
80.8	1.106
81	1.102
81.2	1.053
81.4	1.128
81.6	1.235
81.8	0.901
82	1.09
82.2	1.228
82.4	1.048
82.6	1.006
82.8	1.078
83	1.135
83.2	1.037
83.4	1.092
83.6	1.185
83.8	1.116
84	1.211
84.2	1.08
84.4	1.031
84.6	1.118
84.8	1.122
85	1.182
85.2	1.076
85.4	1.075
85.6	1.014
85.8	1.136
86	1.121
86.2	1.006
86.4	1.171
86.6	1.166
86.8	0.996
87	1.122
87.2	1.188
87.4	1.048
87.6	0.966
87.8	1.063
88	1.267
88.2	1.135
88.4	1.065
88.6	1.111
88.8	1.04
89	1.094
89.2	1.196
89.4	1.074
89.6	1.099
89.8	1.107
90	1.101
90.2	1.03
90.4	1.215
90.6	1.151
90.8	0.947
91	1.095
91.2	1.162
91.4	1.144
91.6	1.176
91.8	1.184
92	1.103
92.2	1.145
92.4	1.044
92.6	1.06
92.8	1.36
93	1.008
93.2	1.083
93.4	1.292
93.6	1.234
93.8	1.105
94	1.129
94.2	1.073
94.4	1.188
94.6	1.045
94.8	1.127
95	1.219
95.2	1.139
95.4	1.012
95.6	1.004
95.8	1.213
96	1.256
96.2	1.048
96.4	1.042
96.6	1.179
96.8	1.087
97	1.115
97.2	1.091
97.4	1.102
97.6	1.048
97.8	1.123
98	0.97
98.2	1.075
98.4	1.083
98.6	1.328
98.8	1.166
99	1.053
99.2	1.116
99.4	1.169
99.6	1.159
99.8	1.128
