t	x
0	1
0.2	0.99983
0.4	0.99964
0.6	0.99941
0.8	0.99915
1	0.99885
1.2	0.99851
1.4	0.99812
1.6	0.99768
1.8	0.99718
2	0.9966
2.2	0.99596
2.4	0.99523
2.6	0.9944
2.8	0.99348
3	0.99244
3.2	0.99128
3.4	0.99
3.6	0.98858
3.8	0.98702
4	0.98533
4.2	0.98349
4.4	0.98152
4.6	0.97943
4.8	0.97723
5	0.97494
5.2	0.97259
5.4	0.97019
5.6	0.96779
5.8	0.9654
6	0.96308
6.2	0.96086
6.4	0.95877
6.6	0.95684
6.8	0.95512
7	0.95363
7.2	0.9524
7.4	0.95147
7.6	0.95084
7.8	0.95053
8	0.95057
8.2	0.95096
8.4	0.9517
8.6	0.95279
8.8	0.95424
9	0.95604
9.2	0.95818
9.4	0.96064
9.6	0.96342
9.8	0.96649
10	0.96984
10.2	0.97344
10.4	0.97727
10.6	0.98131
10.8	0.98553
11	0.98991
11.2	0.99441
11.4	0.99902
11.6	1.00369
11.8	1.00841
12	1.01314
12.2	1.01787
12.4	1.02256
12.6	1.02718
12.8	1.03172
13	1.03614
13.2	1.04043
13.4	1.04457
13.6	1.04853
13.8	1.05229
14	1.05585
14.2	1.05919
14.4	1.06229
14.6	1.06514
14.8	1.06774
15	1.07008
15.2	1.07215
15.4	1.07395
15.6	1.07549
15.8	1.07675
16	1.07775
16.2	1.07848
16.4	1.07896
16.6	1.07918
16.8	1.07916
17	1.07891
17.2	1.07844
17.4	1.07775
17.6	1.07686
17.8	1.07579
18	1.07454
18.2	1.07312
18.4	1.07156
18.6	1.06987
18.8	1.06806
19	1.06614
19.2	1.06412
19.4	1.06203
19.6	1.05987
19.8	1.05766
20	1.05541
20.2	1.05313
20.4	1.05083
20.6	1.04853
20.8	1.04623
21	1.04395
21.2	1.04168
21.4	1.03945
21.6	1.03726
21.8	1.03512
22	1.03303
22.2	1.03099
22.4	1.02903
22.6	1.02713
22.8	1.02531
23	1.02356
23.2	1.02189
23.4	1.02031
23.6	1.01882
23.8	1.01741
24	1.01609
24.2	1.01487
24.4	1.01373
24.6	1.01269
24.8	1.01174
25	1.01089
25.2	1.01012
25.4	1.00945
25.6	1.00887
25.8	1.00838
26	1.00797
26.2	1.00766
26.4	1.00743
26.6	1.00729
26.8	1.00724
27	1.00726
27.2	1.00737
27.4	1.00755
27.6	1.00782
27.8	1.00816
28	1.00857
28.2	1.00905
28.4	1.00961
28.6	1.01023
28.8	1.01091
29	1.01166
29.2	1.01247
29.4	1.01334
29.6	1.01426
29.8	1.01523
30	1.01626
30.2	1.01733
30.4	1.01845
30.6	1.01961
30.8	1.02081
31	1.02205
31.2	1.02332
31.4	1.02462
31.6	1.02594
31.8	1.02729
32	1.02866
32.2	1.03004
32.4	1.03144
32.6	1.03285
32.8	1.03426
33	1.03568
33.2	1.0371
33.4	1.03851
33.6	1.03991
33.8	1.0413
34	1.04268
34.2	1.04404
34.4	1.04538
34.6	1.04669
34.8	1.04798
35	1.04924
35.2	1.05046
35.4	1.05165
35.6	1.0528
35.8	1.05391
36	1.05497
36.2	1.05599
36.4	1.05697
36.6	1.05789
36.8	1.05877
37	1.0596
37.2	1.06037
37.4	1.06109
37.6	1.06176
37.8	1.06238
38	1.06294
38.2	1.06345
38.4	1.06391
38.6	1.06432
38.8	1.06467
39	1.06497
39.2	1.06523
39.4	1.06544
39.6	1.0656
39.8	1.06572
40	1.06579
40.2	1.06583
40.4	1.06582
40.6	1.06578
40.8	1.0657
41	1.0656
41.2	1.06546
41.4	1.0653
41.6	1.06511
41.8	1.0649
42	1.06466
42.2	1.06442
42.4	1.06415
42.6	1.06388
