t	x
0	1
0.2	1.00006
0.4	1.00012
0.6	1.0002
0.8	1.00029
1	1.00039
1.2	1.0005
1.4	1.00063
1.6	1.00078
1.8	1.00095
2	1.00114
2.2	1.00136
2.4	1.00161
2.6	1.00189
2.8	1.00221
3	1.00257
3.2	1.00298
3.4	1.00344
3.6	1.00396
3.8	1.00453
4	1.00518
4.2	1.0059
4.4	1.00669
4.6	1.00757
4.8	1.00852
5	1.00956
5.2	1.01069
5.4	1.0119
5.6	1.0132
5.8	1.01459
6	1.01605
6.2	1.01759
6.4	1.0192
6.6	1.02088
6.8	1.02262
7	1.02441
7.2	1.02626
7.4	1.02815
7.6	1.03008
7.8	1.03204
8	1.03402
8.2	1.03603
8.4	1.03805
8.6	1.04007
8.8	1.0421
9	1.04412
9.2	1.04613
9.4	1.04813
9.6	1.05011
9.8	1.05207
10	1.05399
10.2	1.05589
10.4	1.05775
10.6	1.05956
10.8	1.06133
11	1.06305
11.2	1.06471
11.4	1.06632
11.6	1.06786
11.8	1.06934
12	1.07075
12.2	1.07209
12.4	1.07335
12.6	1.07453
12.8	1.07563
13	1.07665
13.2	1.07758
13.4	1.07842
13.6	1.07917
13.8	1.07983
14	1.0804
14.2	1.08087
14.4	1.08125
14.6	1.08154
14.8	1.08173
15	1.08183
15.2	1.08183
15.4	1.08174
15.6	1.08156
15.8	1.0813
16	1.08094
16.2	1.0805
16.4	1.07998
16.6	1.07938
16.8	1.0787
17	1.07794
17.2	1.07712
17.4	1.07623
17.6	1.07528
17.8	1.07426
18	1.0732
18.2	1.07208
18.4	1.07091
18.6	1.0697
18.8	1.06845
19	1.06717
19.2	1.06586
19.4	1.06453
19.6	1.06317
19.8	1.0618
20	1.06042
20.2	1.05903
20.4	1.05764
20.6	1.05625
20.8	1.05487
21	1.05349
21.2	1.05213
21.4	1.05079
21.6	1.04947
21.8	1.04818
22	1.04691
22.2	1.04568
22.4	1.04449
22.6	1.04333
22.8	1.04221
23	1.04114
23.2	1.04012
23.4	1.03914
23.6	1.03822
23.8	1.03736
24	1.03655
24.2	1.03579
24.4	1.0351
24.6	1.03447
24.8	1.0339
25	1.03339
25.2	1.03294
25.4	1.03257
25.6	1.03225
25.8	1.032
26	1.03182
26.2	1.0317
26.4	1.03165
26.6	1.03166
26.8	1.03174
27	1.03188
27.2	1.03209
27.4	1.03235
27.6	1.03267
27.8	1.03306
28	1.0335
28.2	1.03399
28.4	1.03454
28.6	1.03515
28.8	1.0358
29	1.03649
29.2	1.03724
29.4	1.03803
29.6	1.03885
29.8	1.03972
30	1.04062
30.2	1.04155
30.4	1.04251
30.6	1.0435
30.8	1.04451
31	1.04554
31.2	1.04659
31.4	1.04766
31.6	1.04874
31.8	1.04983
32	1.05092
32.2	1.05202
32.4	1.05312
32.6	1.05421
32.8	1.0553
33	1.05639
33.2	1.05746
33.4	1.05853
33.6	1.05957
33.8	1.0606
34	1.06161
34.2	1.0626
34.4	1.06357
34.6	1.06451
34.8	1.06543
35	1.06631
35.2	1.06717
35.4	1.06799
35.6	1.06879
35.8	1.06955
36	1.07027
36.2	1.07096
36.4	1.07162
36.6	1.07224
36.8	1.07282
37	1.07337
37.2	1.07388
37.4	1.07436
37.6	1.0748
37.8	1.0752
38	1.07557
38.2	1.07591
38.4	1.07621
38.6	1.07648
38.8	1.07671
39	1.07692
39.2	1.0771
39.4	1.07725
39.6	1.07737
39.8	1.07747
40	1.07754
40.2	1.07759
40.4	1.07762
40.6	1.07762
40.8	1.07761
41	1.07758
41.2	1.07754
41.4	1.07748
41.6	1.07741
41.8	1.07733
42	1.07725
42.2	1.07715
42.4	1.07704
42.6	1.07694
42.8	1.07683
43	1.07671
43.2	1.0766
43.4	1.07648
43.6	1.07637
43.8	1.07626
44	1.07616
44.2	1.07606
44.4	1.07596
44.6	1.07587
44.8	1.07579
45	1.07572
45.2	1.07566
45.4	1.07561
45.6	1.07556
45.8	1.07553
46	1.07551
46.2	1.0755
46.4	1.0755
46.6	1.07552
46.8	1.07555
47	1.07558
47.2	1.07563
47.4	1.0757
47.6	1.07577
47.8	1.07586
48	1.07596
48.2	1.07607
48.4	1.07619
48.6	1.07632
48.8	1.07646
49	1.07661
49.2	1.07678
49.4	1.07695
49.6	1.07713
49.8	1.07731
50	1.07751
50.2	1.07771
50.4	1.07792
50.6	1.07813
50.8	1.07835
51	1.07857
51.2	1.0788
51.4	1.07903
51.6	1.07926
51.8	1.0795
52	1.07974
52.2	1.07998
52.4	1.08021
52.6	1.08045
52.8	1.08069
53	1.08093
53.2	1.08116
53.4	1.0814
53.6	1.08163
53.8	1.08186
54	1.08209
54.2	1.08231
54.4	1.08253
54.6	1.08274
54.8	1.08295
55	1.08316
55.2	1.08336
55.4	1.08356
55.6	1.08375
55.8	1.08393
56	1.08411
56.2	1.08429
56.4	1.08446
56.6	1.08463
56.8	1.08479
57	1.08494
57.2	1.08509
57.4	1.08524
57.6	1.08538
57.8	1.08551
58	1.08564
58.2	1.08577
58.4	1.08589
58.6	1.086
58.8	1.08612
59	1.08623
59.2	1.08633
59.4	1.08643
59.6	1.08653
59.8	1.08663
60	1.08672
60.2	1.08681
60.4	1.0869
60.6	1.08698
60.8	1.08707
61	1.08715
61.2	1.08723
61.4	1.08731
61.6	1.08739
61.8	1.08746
62	1.08754
62.2	1.08762
62.4	1.08769
62.6	1.08777
62.8	1.08784
63	1.08791
63.2	1.08799
63.4	1.08806
63.6	1.08814
63.8	1.08821
64	1.08829
64.2	1.08836
64.4	1.08844
64.6	1.08851
64.8	1.08859
65	1.08866
65.2	1.08874
65.4	1.08882
65.6	1.08889
65.8	1.08897
66	1.08905
66.2	1.08912
66.4	1.0892
66.6	1.08928
66.8	1.08936
67	1.08943
67.2	1.08951
67.4	1.08958
67.6	1.08966
67.8	1.08973
68	1.08981
68.2	1.08988
68.4	1.08995
68.6	1.09002
68.8	1.09009
69	1.09015
69.2	1.09022
69.4	1.09028
69.6	1.09035
69.8	1.09041
70	1.09047
70.2	1.09052
70.4	1.09058
70.6	1.09063
70.8	1.09068
71	1.09073
71.2	1.09078
71.4	1.09082
71.6	1.09086
71.8	1.0909
72	1.09093
72.2	1.09097
72.4	1.091
72.6	1.09102
72.8	1.09105
73	1.09107
73.2	1.09109
73.4	1.09111
73.6	1.09112
73.8	1.09113
74	1.09114
74.2	1.09115
74.4	1.09115
74.6	1.09115
74.8	1.09115
75	1.09115
75.2	1.09114
75.4	1.09113
75.6	1.09112
75.8	1.09111
76	1.09109
76.2	1.09107
76.4	1.09105
76.6	1.09103
76.8	1.091
77	1.09098
77.2	1.09095
77.4	1.09092
77.6	1.09089
77.8	1.09086
78	1.09082
78.2	1.09078
78.4	1.09075
78.6	1.09071
78.8	1.09067
79	1.09062
79.2	1.09058
79.4	1.09054
79.6	1.09049
79.8	1.09045
80	1.0904
80.2	1.09035
80.4	1.0903
80.6	1.09025
80.8	1.0902
81	1.09015
81.2	1.0901
81.4	1.09005
81.6	1.09
81.8	1.08995
82	1.0899
82.2	1.08984
82.4	1.08979
82.6	1.08974
82.8	1.08969
83	1.08963
83.2	1.08958
83.4	1.08953
83.6	1.08948
83.8	1.08942
84	1.08937
84.2	1.08932
84.4	1.08927
84.6	1.08922
84.8	1.08917
85	1.08912
85.2	1.08907
85.4	1.08902
85.6	1.08897
85.8	1.08893
86	1.08888
86.2	1.08884
86.4	1.08879
86.6	1.08875
86.8	1.0887
87	1.08866
87.2	1.08862
87.4	1.08858
87.6	1.08854
87.8	1.08851
88	1.08847
88.2	1.08843
88.4	1.0884
88.6	1.08837
88.8	1.08834
89	1.08831
89.2	1.08828
89.4	1.08825
89.6	1.08822
89.8	1.0882
90	1.08818
90.2	1.08815
90.4	1.08813
90.6	1.08812
90.8	1.0881
91	1.08808
91.2	1.08807
91.4	1.08805
91.6	1.08804
91.8	1.08803
92	1.08803
92.2	1.08802
92.4	1.08801
92.6	1.08801
92.8	1.08801
93	1.088
93.2	1.088
93.4	1.088
93.6	1.08801
93.8	1.08801
94	1.08801
94.2	1.08802
94.4	1.08803
94.6	1.08803
94.8	1.08804
95	1.08805
95.2	1.08806
95.4	1.08807
95.6	1.08808
95.8	1.08809
96	1.0881
96.2	1.08811
96.4	1.08812
96.6	1.08814
96.8	1.08815
97	1.08816
97.2	1.08817
97.4	1.08818
97.6	1.08819
97.8	1.0882
98	1.08821
98.2	1.08821
98.4	1.08822
